Source,Target
trafficaccident,volvocars
kongress,flisa
kongress,ambulance
flisa,ambulance
ambulance,liberia
ambulance,firstresponders
ambulance,hcid
ambulance,sweamb
liberia,firstresponders
hcid,sweamb
sosalarm,wearesthlm
sosalarm,hesafredrick
sosalarm,almedalsveckan2017
sosalarm,xddesign
sosalarm,sos
xddesign,sos
cafekupan,punainenristi
cafekupan,suosion
cafekupan,salaisuus
punainenristi,suosion
punainenristi,salaisuus
suosion,salaisuus
krisberedskap,msb
msb,samsak17
msb,rtj
msb,larmetgår
msb,länsstyrelsenskåne
msb,oljeskadeskydd
msb,brandkårenattunda
msb,skyddmotolyckor
msb,kriskom
msb,kriskommunikation
msb,skum
msb,rälb
msb,insatsledare
msb,fail
msb,hesafredrik
msb,amatörer
msb,organisatoriskarbetsmiljö
msb,hgc
msb,digwin
msb,godig
msb,dreamhacksummer
msb,l5
msb,brandkonf
msb,analysprocess
msb,rki
msb,sbsf
msb,skred
msb,karlskrona
msb,hav
msb,ras
msb,sjöv
msb,sgi
msb,smhi
msb,sgu
msb,boverket
msb,tjugofyrasju
msb,sbb
msb,sbf
msb,flooding
msb,landslide
msb,climatechange
msb,erosion
msb,översvämning
msb,beredskap
msb,totalförsvar
rtj,larmetgår
rtj,skum
rtj,rälb
rtj,insatsledare
rtj,brandkonf
rtj,analysprocess
rtj,tjugofyrasju
brandkårenattunda,skyddmotolyckor
rälb,insatsledare
fail,hesafredrik
hgc,digwin
hgc,godig
hgc,l5
digwin,godig
brandkonf,analysprocess
rki,sbsf
skred,karlskrona
skred,hav
skred,ras
skred,sjöv
skred,sgi
skred,smhi
skred,sgu
skred,boverket
skred,översvämning
skred,erosion
karlskrona,hav
karlskrona,ras
karlskrona,sjöv
karlskrona,sgi
karlskrona,smhi
karlskrona,sgu
karlskrona,boverket
hav,ras
hav,sjöv
hav,sgi
hav,smhi
hav,sgu
hav,boverket
ras,sjöv
ras,sgi
ras,smhi
ras,sgu
ras,boverket
ras,översvämning
ras,erosion
sjöv,sgi
sjöv,smhi
sjöv,sgu
sjöv,boverket
sgi,smhi
sgi,sgu
sgi,boverket
sgi,flooding
sgi,landslide
sgi,climatechange
sgi,erosion
sgi,översvämning
smhi,sgu
smhi,boverket
sgu,boverket
sbb,sbf
flooding,landslide
flooding,climatechange
flooding,erosion
landslide,climatechange
landslide,erosion
climatechange,erosion
erosion,översvämning
beredskap,totalförsvar
firetruck,stockholm
firetruck,sweden
firetruck,emergency
stockholm,sweden
stockholm,emergency
sweden,emergency
