Source,Target
msb,krisberedskap
msb,samsak17
msb,larmetgår
msb,rtj
msb,länsstyrelsenskåne
msb,oljeskadeskydd
msb,skyddmotolyckor
msb,brandkårenattunda
msb,kriskom
msb,kriskommunikation
msb,skum
msb,insatsledare
msb,rälb
msb,fail
msb,hesafredrik
msb,amatörer
msb,organisatoriskarbetsmiljö
msb,hgc
msb,godig
msb,digwin
msb,dreamhacksummer
msb,l5
msb,brandkonf
msb,analysprocess
msb,sbsf
msb,rki
msb,sjöv
msb,hav
msb,skred
msb,smhi
msb,ras
msb,sgi
msb,karlskrona
msb,boverket
msb,sgu
msb,tjugofyrasju
msb,sbf
msb,sbb
msb,landslide
msb,flooding
msb,erosion
msb,climatechange
msb,översvämning
msb,totalförsvar
msb,beredskap
larmetgår,rtj
rtj,skum
rtj,insatsledare
rtj,rälb
rtj,brandkonf
rtj,analysprocess
rtj,tjugofyrasju
skyddmotolyckor,brandkårenattunda
insatsledare,rälb
fail,hesafredrik
hgc,godig
hgc,digwin
hgc,l5
godig,digwin
brandkonf,analysprocess
sbsf,rki
sjöv,hav
sjöv,skred
sjöv,smhi
sjöv,ras
sjöv,sgi
sjöv,karlskrona
sjöv,boverket
sjöv,sgu
hav,skred
hav,smhi
hav,ras
hav,sgi
hav,karlskrona
hav,boverket
hav,sgu
skred,smhi
skred,ras
skred,sgi
skred,karlskrona
skred,boverket
skred,sgu
skred,översvämning
skred,erosion
smhi,ras
smhi,sgi
smhi,karlskrona
smhi,boverket
smhi,sgu
ras,sgi
ras,karlskrona
ras,boverket
ras,sgu
ras,översvämning
ras,erosion
sgi,karlskrona
sgi,boverket
sgi,sgu
sgi,landslide
sgi,flooding
sgi,erosion
sgi,climatechange
sgi,översvämning
karlskrona,boverket
karlskrona,sgu
boverket,sgu
sbf,sbb
landslide,flooding
landslide,erosion
landslide,climatechange
flooding,erosion
flooding,climatechange
erosion,climatechange
erosion,översvämning
totalförsvar,beredskap
